Data,Produto,Categoria,Preço Unitário,Quantidade Vendida,Receita Total,Forma de Pagamento,Região
2023-01-20,Notebook,Eletrônicos,4285.65,2,8571.3,Dinheiro,Sul
2023-09-24,Cafeteira,Eletrodomésticos,1355.8,10,13558.0,Dinheiro,Centro-Oeste
2023-08-07,Sandália,Calçados,3939.38,8,31515.04,Pix,Norte
2023-11-21,Cafeteira,Eletrodomésticos,580.3,8,4642.4,Cartão de Crédito,Sul
2023-10-20,Smartphone,Eletrônicos,2467.46,6,14804.76,Pix,Nordeste
2023-10-09,Camisa Polo,Roupas,807.72,10,8077.2,Pix,Norte
2023-08-07,Camisa Polo,Roupas,2089.06,6,12534.36,Dinheiro,Norte
2023-10-11,Calça Jeans,Roupas,2021.49,7,14150.43,Pix,Sul
2023-05-15,Sandália,Calçados,3160.32,3,9480.96,Cartão de Débito,Sul
2023-01-23,Calça Jeans,Roupas,1758.26,10,17582.6,Dinheiro,Norte
2023-02-18,Smartphone,Eletrônicos,4255.42,3,12766.26,Pix,Nordeste
2023-07-13,Notebook,Eletrônicos,2120.01,1,2120.01,Dinheiro,Norte
2023-07-30,Smartphone,Eletrônicos,280.95,9,2528.55,Pix,Sudeste
2023-04-13,Sandália,Calçados,4825.93,5,24129.65,Cartão de Crédito,Centro-Oeste
2023-11-10,Tênis Esportivo,Calçados,3626.11,10,36261.1,Cartão de Débito,Centro-Oeste
2023-08-01,Notebook,Eletrônicos,730.53,2,1461.06,Cartão de Débito,Sudeste
2023-03-01,Camisa Polo,Roupas,1129.27,8,9034.16,Cartão de Crédito,Sudeste
2023-08-11,Notebook,Eletrônicos,1720.31,6,10321.86,Cartão de Débito,Sudeste
2023-07-19,Tênis Esportivo,Calçados,1443.82,6,8662.92,Cartão de Crédito,Sul
2023-07-11,Liquidificador,Eletrodomésticos,2495.07,7,17465.49,Dinheiro,Sudeste
2023-02-11,Calça Jeans,Roupas,335.72,6,2014.32,Pix,Sul
2023-10-16,Tênis Esportivo,Calçados,2192.9,2,4385.8,Cartão de Crédito,Centro-Oeste
2023-07-24,Tênis Esportivo,Calçados,4899.66,10,48996.6,Cartão de Débito,Sudeste
2023-05-28,Smartphone,Eletrônicos,3724.42,9,33519.78,Cartão de Débito,Nordeste
2023-02-24,Notebook,Eletrônicos,4273.34,10,42733.4,Dinheiro,Sul
2023-09-11,Liquidificador,Eletrodomésticos,1945.42,6,11672.52,Dinheiro,Sudeste
2023-11-19,Camisa Polo,Roupas,2644.44,7,18511.08,Dinheiro,Sudeste
2023-01-19,Liquidificador,Eletrodomésticos,2991.48,10,29914.8,Cartão de Crédito,Nordeste
2023-07-17,Sandália,Calçados,1073.36,4,4293.44,Pix,Sudeste
2023-03-13,Calça Jeans,Roupas,1227.3,8,9818.4,Cartão de Crédito,Norte
2023-12-20,Smartphone,Eletrônicos,1311.38,7,9179.66,Cartão de Crédito,Norte
2023-11-05,Sandália,Calçados,2571.99,4,10287.96,Dinheiro,Sudeste
2023-02-20,Tênis Esportivo,Calçados,692.3,8,5538.4,Dinheiro,Norte
2023-08-25,Cafeteira,Eletrodomésticos,3841.88,10,38418.8,Dinheiro,Nordeste
2023-01-29,Camisa Polo,Roupas,4150.0,9,37350.0,Cartão de Débito,Centro-Oeste
2023-07-08,Sandália,Calçados,1749.66,2,3499.32,Pix,Centro-Oeste
2023-06-17,Tênis Esportivo,Calçados,4358.22,5,21791.1,Pix,Norte
2023-01-30,Camisa Polo,Roupas,534.68,9,4812.12,Cartão de Crédito,Sul
2023-07-02,Smartphone,Eletrônicos,65.38,10,653.8,Dinheiro,Norte
2023-11-04,Notebook,Eletrônicos,1471.7,2,2943.4,Cartão de Crédito,Centro-Oeste
2023-10-07,Smartphone,Eletrônicos,3121.77,2,6243.54,Dinheiro,Centro-Oeste
2023-03-22,Cafeteira,Eletrodomésticos,3029.08,2,6058.16,Pix,Nordeste
2023-01-27,Sandália,Calçados,1435.38,3,4306.14,Pix,Sul
2023-11-27,Camisa Polo,Roupas,2090.15,8,16721.2,Dinheiro,Sul
2023-05-05,Camisa Polo,Roupas,4244.22,3,12732.66,Cartão de Débito,Norte
2023-02-19,Tênis Esportivo,Calçados,2436.07,3,7308.21,Cartão de Crédito,Centro-Oeste
2023-10-23,Cafeteira,Eletrodomésticos,2940.34,6,17642.04,Cartão de Débito,Centro-Oeste
2023-04-01,Smartphone,Eletrônicos,990.36,5,4951.8,Cartão de Crédito,Nordeste
2023-05-06,Liquidificador,Eletrodomésticos,2365.7,3,7097.1,Dinheiro,Nordeste
2023-09-19,Smartphone,Eletrônicos,2244.27,1,2244.27,Cartão de Crédito,Centro-Oeste
2023-06-22,Smartphone,Eletrônicos,2921.73,4,11686.92,Dinheiro,Sudeste
2023-02-11,Cafeteira,Eletrodomésticos,4658.01,4,18632.04,Pix,Nordeste
2023-03-15,Smartphone,Eletrônicos,3125.59,3,9376.77,Cartão de Crédito,Norte
2023-02-14,Tênis Esportivo,Calçados,4570.87,3,13712.61,Pix,Nordeste
2023-09-29,Calça Jeans,Roupas,3785.01,6,22710.06,Cartão de Crédito,Nordeste
2023-10-16,Notebook,Eletrônicos,3277.52,7,22942.64,Cartão de Débito,Sudeste
2023-01-13,Smartphone,Eletrônicos,1713.48,6,10280.88,Cartão de Crédito,Norte
2023-07-12,Sandália,Calçados,1805.07,1,1805.07,Cartão de Crédito,Sul
2023-09-29,Liquidificador,Eletrodomésticos,3790.21,9,34111.89,Cartão de Crédito,Sudeste
2023-11-13,Liquidificador,Eletrodomésticos,609.44,5,3047.2,Cartão de Crédito,Norte
2023-09-16,Camisa Polo,Roupas,4146.9,1,4146.9,Cartão de Débito,Sul
2023-10-02,Cafeteira,Eletrodomésticos,1189.31,8,9514.48,Cartão de Débito,Sul
2023-03-08,Camisa Polo,Roupas,3043.43,10,30434.3,Cartão de Débito,Sul
2023-06-29,Tênis Esportivo,Calçados,1738.51,9,15646.59,Cartão de Débito,Sul
2023-03-11,Cafeteira,Eletrodomésticos,1983.73,10,19837.3,Cartão de Débito,Centro-Oeste
2023-06-07,Tênis Esportivo,Calçados,4268.33,1,4268.33,Cartão de Crédito,Centro-Oeste
2023-08-14,Liquidificador,Eletrodomésticos,954.92,6,5729.52,Cartão de Crédito,Nordeste
2023-10-26,Notebook,Eletrônicos,2154.39,4,8617.56,Cartão de Crédito,Norte
